wanted,position,positionid,from,start,end
Q62733615,Minister of Finance,Q114565391,Q105715507,2020-11-05,
Q53848199,Foreign Secretary,Q114565657,Q20736491,2020-08-17,
Q62733595,Minister of Foreign Affairs,Q113470671,Q99522589,2020-08-05,
Q58238,Minister of Foreign Affairs,Q113470671,Q53848199,2015-05,2019-04
Q7462403,Minister of Education,Q114565388,Q103393579,2011-12-05,2015-05-16
Q58238,Minister of Amerindian Affairs,Q114565468,Q62733923,2008-01-04,2015-05-15
Q105720027,Minister of Finance,Q114565391,Q105715507,2006-08-09,2015-05-16
