positionlabel,position
Attorney General and Minister of Legal Affairs,Q56063486
Minister in the Ministry of Housing and Water,Q114565676
Minister in the Ministry of Local Government and Regional Development,Q114565677
Minister in the Ministry of Public Works,Q114565678
"Minister of Culture, Youth, and Sport",Q114565680
Minister of Health,Q114565390
Minister of Home Affairs,Q114565681
Minister of Housing and Water,Q114565682
Minister of Human Services and Social Security,Q114565684
Minister of Labour,Q114565685
Minister of Local Government and Regional Development,Q114565686
Minister of Natural Resources,Q114565687
Minister of Parliamentary Affairs and Governance,Q114565688
Minister of Public Service,Q114565689
Minister of Public Works,Q114565690
"Minister of Tourism, Industry, and Commerce",Q114565691
Minister within the Office of the Prime Minister,Q114565692
