@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
+++,,Allan Persaud,,Minister within the Ministry of local Government,2020-08-05,,
---,Q212760,Bharrat Jagdeo,Q48775023,Vice President of Guyana,2020-08-02,,Q212760-48F14B0E-38AF-4875-B2D9-02AFABA0416B
---,Q102491098,Gail Teixeira,Q114565688,Minister of Parliamentary Affairs and Governance,2020-08-02,,Q102491098-58016314-C792-4E2A-AF9F-6B0855778077
---,Q98053664,Mark Phillips,Q48775023,Vice President of Guyana,2020-08-02,,Q98053664-B17CF0C4-0D26-492E-9BC1-82C8790990C6
---,Q98053664,Mark Phillips,Q376006,Prime Minister of Guyana,2020-08-03,,Q98053664-3595a0db-4036-1fa7-d6d3-7134a8e61fc7
---,Q16873156,Mohabir Anil Nandlall,Q56063486,Attorney General of Guyana,2020-08-02,,Q16873156-8133FA03-66BF-45BC-96D7-F0B6DC3CA361
