pageid,title,wikidata,label
392422,Bharrat Jagdeo,Q212760,Bharrat Jagdeo
42738347,Mohabir Anil Nandlall,Q16873156,Mohabir Anil Nandlall
47111159,Robert Persaud,Q20736491,Robert Montgomery Persaud
61153000,Irfaan Ali,Q64840184,Irfaan Ali
64745689,Mark Phillips (Guyanese politician),Q98053664,Mark Phillips
65185275,Hugh Todd,Q99522589,Hugh Todd
65966245,Gail Teixeira,Q102491098,Gail Teixeira
65966756,Frank C.S. Anthony,Q104902365,Frank C.S. Anthony
65975342,Zulfikar Mustapha,Q102734949,Zulfikar Mustapha
65976331,Pauline Campbell-Sukhai,Q62733923,Pauline Campbell-Sukhai
65983576,Charles S. Ramson,Q104876875,Charles S. Ramson
65992906,Priya Manickchand,Q103393579,Priya Manickchand
66238404,Robeson Benn,Q104581315,Robeson Benn
66243599,Collin Croal,Q104591538,Collin Croal
66244249,Susan Rodrigues,Q104821640,Susan Rodrigues
66247721,Vindhya Persaud,Q104598899,Vindhya Persaud
66284493,Joseph Hamilton (politician),Q104903343,Joseph Hamilton
66284957,Nigel Dharamlall,Q104658817,Nigel Dharamlall
66290116,Anand Persaud,Q104667003,Anand Persaud
66308471,Vickram Bharrat,Q104707794,Vickram Bharrat
66308620,Sonia Parag,Q104707770,Sonia Parag
66311392,Juan Edghill,Q105044296,Juan A. Edghill
66311753,Oneidge Walrond,Q104710307,Oneidge Walrond
66937022,Ashni Singh,Q105715507,Ashni Singh
