wpid,wpdobstr,wpdob
392422,"January 23, 1964",1964-01-23
42738347,"February 17, 1972",1972-02-17
47111159,"May 9, 1974",1974-05-09
61153000,"April 25, 1980",1980-04-25
64745689,"October 5, 1961",1961-10-05
65966245,"July 18, 1952",1952-07-18
66238404,"January 7, 1953",1953-01-07
66244249,1987,1987
66284493,1953-54,
66311392,"December 25, 1964",1964-12-25
