who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
392422,Q48775023,Vice President of Guyana,2020-08-02,,Q53848199,Carl Barrington Greenidge Khemraj Ramjattan Sydney Allicock,,,0
392422,Q48775023,Vice President of Guyana,2020-08-02,,Q62733422,Carl Barrington Greenidge Khemraj Ramjattan Sydney Allicock,,,1
392422,Q48775023,Vice President of Guyana,2020-08-02,,Q62733439,Carl Barrington Greenidge Khemraj Ramjattan Sydney Allicock,,,2
392422,,,1997-12-19,1999-08-09,Q7306955,Janet Jagan Reepu Daman Persaud,,Reepu Daman Persaud,3
392422,,,,,,,,,4
392422,List of Presidents of Guyana,7th President of Guyana,1999-08-11,2011-12-03,Janet Jagan,Janet Jagan,Q57422,Donald Ramotar,5
392422,Prime Minister of Guyana,7th Prime Minister and First Vice President of Guyana,1999-08-09,1999-08-11,Q57697,Sam Hinds,,Sam Hinds,6
392422,Q48775023,7th Prime Minister and First Vice President of Guyana,1999-08-09,1999-08-11,Q57697,Sam Hinds,,Sam Hinds,7
392422,President pro tempore of the Union of South American Nations,President pro tempore of the Union of South American Nations,2010-11-26,2011-10-29,Rafael Correa,Rafael Correa,Fernando Lugo,Fernando Lugo,8
