item,itemLabel,minister,ministerLabel,began,ended
Q55623267,Ministry of Education of Guyana,Q114565388,Minister of Education of Guyana,1877,
Q96393349,Ministry of Finance,Q114565391,Minister of Finance,,
Q6866999,Ministry of Foreign Affairs,Q113470671,Minister of Foreign Affairs,,
Q115057430,Ministry of Home Affairs of Guyana,Q115057456,Minister of Home Affairs,,
