position,title
Q685925,President
Q48775023,Vice President
Q376006,Prime Minister
Q6866032,Minister of Agriculture
Q114565468,Minister of Amerindian Affairs
Q114565680,"Minister of Culture, Youth, and Sport"
Q114565388,Minister of Education
Q114565391,Minister of Finance
Q113470671,Minister of Foreign Affairs
Q114565390,Minister of Health
Q114565466,Minister of Home Affairs and Public Security
Q114565682,Minister of Housing and Water
Q114565684,Minister of Human Services and Social Security
Q114565685,Minister of Labour
Q114565686,Minister of Local Government and Regional Development
Q114565687,Minister of Natural Resources
Q114565688,Minister of Parliamentary Affairs and Governance
Q114565689,Minister of Public Service
Q114565690,Minister of Public Works
Q114565691,"Minister of Tourism, Industry, and Commerce"
Q114565692,Minister within the Office of the Prime Minister
Q114565676,Minister in the Ministry of Housing and Water
Q114565677,Minister in the Ministry of Local Government and Regional Development
Q114565678,Minister in the Ministry of Public Works
Q56063486,Attorney General
